Countries,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,Smoking,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
New Zealand,1299.482586,293.4430018,890.3989799,774.3025779,92.24908593,1118.640198,4204.82343,1124.191026,1498.388161,1175.372102
Nicaragua,1440.51091,405.5525163,904.7384633,909.0662864,825.542105,394.2070129,1474.870867,632.422371,1012.964138,982.8619821
Niger,1035.589003,227.6265635,2796.463934,1677.715413,2632.953615,682.9954735,1614.269819,806.3081218,2757.392674,1299.417252
Nigeria,39517.06615,20350.10968,16276.45163,11810.61593,140844.8009,6916.512176,13479.00976,5519.306369,20224.0243,9565.279039
North Korea,7861.192301,2535.752628,16725.23641,6070.795605,1864.39047,4612.414978,36468.37282,21153.63969,15045.67234,7694.794092
North Macedonia,62.2676835,118.7576429,1020.310611,314.8926789,77.88860232,670.6598828,4278.87689,1516.388024,1986.294515,868.7079809
Northern Ireland,715.0649656,134.603047,505.95809,363.2042274,53.38397572,433.7007993,2183.611622,312.3388855,661.0011313,467.4191045
Northern Mariana Islands,3.655431551,2.630261204,9.090919234,10.00574089,2.840565972,6.611407337,26.34862507,17.63864124,19.76291886,13.30988554
Norway,520.0028284,415.0875699,770.3656546,1097.78309,134.1329403,1238.051992,5898.261646,1014.081169,1762.594171,1252.415609
Oceania,4989.823106,582.8187699,6249.552947,5418.013827,2097.311758,2102.633568,13687.0514,3568.774447,8544.536265,5279.398465
Oman,81.08148379,108.180396,53.94703879,365.6066729,141.3942919,405.3630285,921.5833604,408.1114098,976.5408582,775.3900326
Pakistan,7948.410684,7424.473481,73998.38823,62132.20588,5369.931485,27757.44742,128588.5322,56849.39653,94133.80806,59704.3606
Palestine,27.51387061,102.1795362,803.3346201,566.6557925,36.49858328,553.9968994,1138.537368,331.5344432,1242.402332,846.3569466
Panama,1259.841797,205.9831243,515.2561776,634.9654248,699.2863663,314.7714658,1541.893804,621.814755,699.3905203,669.1457832
Papua New Guinea,4536.709792,434.8944221,4714.196499,4133.580998,1712.274758,1421.504919,10566.14722,2367.244012,6293.196548,3723.95546
Paraguay,1729.486658,263.9793905,1248.828046,1183.801151,1031.061579,681.039422,4293.22832,1279.370678,1763.204118,1247.946383
Peru,6287.707202,1280.809247,2582.918135,3091.352529,3133.339274,2167.595805,7048.791114,4347.926317,4468.679816,3905.034459
Philippines,29506.90953,3498.67673,20990.36453,25698.27733,6148.430598,8830.769528,93737.16162,43476.86623,34100.73398,28518.84009
Poland,27754.50649,2523.050205,21061.21485,9768.557067,2284.30494,14376.97223,76482.20545,19666.28717,25600.41686,21165.65343
Portugal,12202.58116,676.7184318,3139.114452,1523.457274,829.6195725,3253.725362,11869.44749,2444.671817,5226.556969,2819.367331
Puerto Rico,1878.427559,418.5654777,593.2251648,805.9800063,337.3390773,848.3222223,1865.767798,724.7897831,1608.428502,1197.631706
Qatar,136.779258,79.81663835,33.10717469,1.541011212,12.05494151,95.00271744,277.0562145,117.0167463,290.5437657,39.07240046
Romania,37822.34483,3053.841618,14933.18661,1709.079811,1908.433064,10351.076,40499.03361,20975.14331,19871.72315,14160.73629
Russia,189864.6876,35740.07125,118512.4326,85961.31466,14440.92909,99134.0675,301067.822,93047.76178,175951.7905,126752.2803
Rwanda,4604.397587,187.1197704,284.451055,816.1785547,3218.932902,293.8785055,3787.438145,831.5094058,1427.824752,725.3287245
Saint Lucia,80.96000977,9.203592489,35.27351149,36.60712942,19.94332364,30.9121226,113.0735346,26.27596706,74.66613501,42.71767663
Saint Vincent and the Grenadines,49.3634063,6.785469153,30.87301051,35.46370842,28.58616872,30.09601333,69.92856977,20.94945425,67.44513415,45.32098604
Samoa,13.66939457,6.571560283,58.4158145,55.05363747,14.63847246,34.38449721,178.6808504,31.89867528,87.66967729,59.92388328
Sao Tome and Principe,82.21815561,5.499863094,40.37744802,29.38700668,13.35798999,12.33687289,37.99243555,17.46120847,41.43578955,24.07373121
Saudi Arabia,557.7187146,1171.191904,4216.616092,3626.385401,517.768722,3682.137016,5603.74178,3174.284543,7634.405672,5579.151549
Scotland,2018.759799,878.7824108,2027.023362,1378.624822,183.6212234,1542.817493,11877.42028,1315.537743,2547.473599,1690.643961
Senegal,872.559365,341.893423,3020.364377,1772.52718,2350.917428,933.3675546,2486.502447,1029.839285,2798.328186,1844.305127
Serbia,10160.86239,676.3487002,6193.419983,4523.822649,725.7324755,5516.013197,24724.30057,8552.532109,10538.56873,6390.674598
Seychelles,49.47546105,7.124749732,20.16021601,15.44802172,13.72594995,11.08994673,87.97832784,58.60414854,27.57008252,19.40398457
Sierra Leone,3605.815592,179.2940858,1712.296098,1205.70888,2434.835036,530.5944577,2429.964059,593.6993276,1695.847838,1169.461348
Singapore,92.66597049,156.8954387,552.8607966,395.7589343,110.8926132,516.697964,2400.196018,1596.180574,812.8766078,634.333661
Slovakia,3105.051095,450.9815515,2825.242366,2232.203579,259.2077827,2148.600053,8241.237849,3779.31594,4267.098374,3430.635205
Slovenia,695.206093,183.7393747,448.6885616,561.696977,73.64271254,521.3918563,2962.84239,1110.373242,855.2823923,647.7745326
Solomon Islands,25.28088704,24.26313811,230.4835733,229.5936402,58.16247182,98.87296267,513.1625248,159.8504835,308.5315782,217.9575275
Somalia,1528.388415,250.0403252,3868.68055,2919.001239,3198.534051,699.0241947,4876.434758,1392.187895,3995.875009,2309.546814
South Africa,39779.68049,5258.866828,14417.78917,8597.082045,130386.709,5441.978519,29919.66097,6332.784683,10805.61516,10015.75906
South Korea,12801.77179,2234.286984,8456.573281,3080.909731,1289.774767,5825.006447,48052.69713,16439.82408,8459.347697,5757.576258
South Sudan,744.8183528,156.9807389,1575.3751,1149.982569,3765.244043,331.4222177,2379.836171,753.2835952,1530.443501,998.8670207
Spain,31586.02569,2322.930241,8114.251098,7143.377798,1751.502194,9704.688566,63968.58969,5851.913062,14986.21299,9404.445156
Sri Lanka,6150.337137,747.801131,6867.678809,5264.18864,469.7045409,2662.783886,12688.89237,9170.336852,7073.861119,6217.745628
Sudan,4099.1727,1818.704065,10194.08745,7810.567304,4048.861748,7060.689869,2868.308281,4516.452294,15427.3639,10820.68807
Suriname,337.6558498,45.60228145,159.3295209,162.6418799,123.8404869,109.3578857,476.1846626,79.7426253,246.9047833,166.0833724
Sweden,2749.612543,714.0670189,2209.43129,2750.161279,302.8242747,2910.49756,13193.94806,3175.339567,4733.651677,3435.019958
Switzerland,1817.89137,588.7808096,1713.723404,1561.892783,230.5432772,1828.81238,9671.171183,2071.32055,2950.601832,1769.667399
Syria,511.667109,587.5159782,5745.14685,5151.477399,109.3594831,4219.563993,10056.85705,2549.098329,9583.440494,7695.731815
Taiwan,11775.82917,3545.02818,3925.586024,2038.580286,958.5455574,2973.335801,27762.98031,8446.725368,7214.433059,3158.131872
Tajikistan,340.575061,364.9890134,3296.997239,893.1628995,136.8987934,1128.920553,4164.573446,2201.124779,4385.409114,2894.797583
Tanzania,15322.66804,1484.207625,4937.250892,5234.780683,25671.94824,1842.840992,15146.14977,6172.914661,5805.30379,5295.425824
Thailand,40559.31517,10245.51016,10582.13571,12747.25186,18838.64362,5746.640041,56234.80933,23231.08816,14540.65363,11813.74459
Timor,64.61884812,37.77072774,481.1493517,322.0555103,193.845615,105.825822,805.0884028,457.4293667,348.0228828,242.3943536
Togo,1463.309637,298.4953339,1673.931783,1162.988178,3824.631018,377.6103457,1518.722348,472.1522637,1446.525406,983.1944875
Tonga,3.523022094,6.438208763,28.99977385,22.79821148,8.488285152,17.27684616,80.27582689,34.44392949,46.69044967,33.01079527
Trinidad and Tobago,192.2487058,75.29288603,498.8216338,527.8305456,270.721612,412.5615503,1011.140418,177.484915,1021.474774,625.5519341
Tunisia,174.3602229,600.8541882,3201.080283,435.6417455,282.2151052,2854.834545,10745.83504,2369.693452,6668.933584,3967.37131
Turkey,5795.232818,1897.263959,8135.002227,1265.760191,989.007208,12896.69652,77090.42216,11693.62307,30150.45146,13766.6922
Turkmenistan,2134.436321,603.3802434,2440.494691,457.0368782,217.1160298,996.3853925,3882.849715,2633.544854,4225.318606,2676.987428
Uganda,10541.26672,275.1899629,1179.623029,2919.910046,19057.20231,909.0888801,5556.863638,2103.396007,3549.990109,1985.086168
Ukraine,85456.55717,10195.7167,57523.91889,25764.15351,4579.736311,43058.416,117039.1876,42588.57296,83262.22557,68057.35868
United Arab Emirates,1724.604064,989.9969446,1028.093289,930.4594275,227.6748192,709.6373346,2512.923969,897.5820437,2180.033794,946.4456429
United Kingdom,16671.52033,5482.099352,18410.9481,13380.16846,1984.58355,15035.98907,92871.01715,14105.28928,24239.66611,16818.59685
United States,80985.81668,104937.1776,85150.79481,69406.50797,14388.95345,72957.31792,422011.2549,95034.8934,133333.6233,98873.86839
United States Virgin Islands,39.25285265,11.14659204,11.28261237,40.7112664,14.802181,40.76164974,85.09490103,35.60716064,84.39925905,65.40654336
Uruguay,989.1108235,318.7405615,987.531506,903.352293,436.4626059,787.2881176,4735.866845,1578.032627,1592.645714,998.3317733
Uzbekistan,7663.03729,2932.517685,17040.20253,852.8660861,1035.667817,7985.553603,20932.37812,14682.90483,28188.00742,19170.46421
Vanuatu,13.28999742,16.83480611,140.6989792,126.5831727,26.45103528,50.52230823,233.8658083,118.7829085,182.2974515,120.9797388
Venezuela,15598.77027,1722.369181,6113.962803,6494.17349,3964.265279,3285.530235,15928.75566,6111.864366,8480.59136,8656.629899
Vietnam,76352.95704,10896.60509,33839.64561,8984.642583,10092.43376,8518.378696,86358.10459,40877.74165,25475.24505,14237.36447
Wales,931.3604085,345.0454197,1073.97637,794.263682,103.0804434,939.3431029,5592.245559,807.6030008,1387.722903,994.4424966
Yemen,42.32744008,755.1280173,8524.544318,8615.380829,539.3617803,4900.717205,12553.3278,3271.575438,12445.27904,8677.625163
Zambia,5287.32292,462.3751155,2562.868587,1720.852299,16361.8286,589.4995098,4353.51607,1183.670344,1792.215066,1580.104899
Zimbabwe,7227.985209,1024.540908,3312.481313,2553.37594,15014.25791,823.4367332,8714.714332,1049.402363,2664.132572,2449.546229
